ID,Name,Multiplicity,Type,Cost
1,Temple,3,Religious,1
2,Eglise,4,Religious,2
3,Monastère,3,Religious,3
4,Cathédrale,2,Religious,5
5,Manoir,5,Noble,3
6,Château,4,Noble,4
7,Palais,2,Noble,5
8,Taverne,5,Commercial,1
9,Echoppe,3,Commercial,2
10,Marché,4,Commercial,2
11,Comptoir,3,Commercial,3
12,Port,3,Commercial,4
13,Hôtel de ville,2,Commercial,5
14,Tour de guêt,3,Military,1
15,Prison,3,Military,2
16,Caserne,3,Military,3
17,Forteresse,2,Military,5
18,Cour des miracles,1,Wonder,2
19,Donjon,2,Wonder,3
20,Laboratoire,1,Wonder,5
21,Manufacture,1,Wonder,5
22,Observatoire,1,Wonder,5
23,Cimetière,1,Wonder,5
24,Bibliothèque,1,Wonder,6
25,Ecole de magie,1,Wonder,6
26,Université,1,Wonder,6
27,Dracoport,1,Wonder,6
